LIGAND FAMILY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WNT;WNT1;WNT2;WNT2B;WNT3;WNT3A;WNT4;WNT5A;WNT5B;WNT6;WNT7A;WNT7B;WNT8A;WNT8B;WNT9A;WNT9B;WNT10A;WNT10B;WNT11;WNT16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RSPONDIN;RSPO1;RSPO2;RSPO3;RSPO4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EGF;EGF;TGFA;HBEGF;BTC;AREG;EREG;EPGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FGF;FGF1;FGF2;FGF3;FGF4;FGF5;FGF6;FGF7;FGF8;FGF9;FGF10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VEGF;VEGFA;VEGFB;VEGFC;VEGFD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HGF;HGF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IGF;IGF1;IGF2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MST;MST1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMP;BMP2;BMP4;BMP6;BMP7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TGFB;TGFB1;TGFB2;TGFB3;LTBP1;LRRC32;BMP3;GDF2;BMP10;INHA;INHBA;INHBB;INHBC;INHBE;FST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTCH;JAG1;JAG2;DLL1;DLL3;DLL4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEDGEHOG;SHH;IHH;DHH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPHRIN;EFNA1;EFNA2;EFNA3;EFNA4;EFNA5;EFNB1;EFNB2;EFNB3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TNF;TNF;LTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAIL;FNFSF10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JAKSTAT;IFNA1;IFNA2;IFNA4;IFNA5;IFNA6;IFNA7;IFNA8;IFNA10;IFNA13;IFNA14;IFNA16;IFNA17;IFNA21;IFNB1;IFNG;IL6;IL1A;IL1B;IL1F10;IL2;IL3;IL4;IL5;IL7;CCL1;CCL2;CCL3;CCL3L1;CCL3L3;CCL4;CCL4L1;CCL4L2;CCL5;CCL7;CCL8;CCL11;CCL13;CCL14;CCL15;CCL16;CCL17;CCL18;CCL19;CCL20;CCL21;CCL22;CCL23;CCL24;CCL25;XXL26;CCL27;CCL28;CXCL1;CXCL2;CXCL3;CXCL5;CXCL6;CXCL8;CXCL9;CXCL10;CXCL11;CXCL12;CXCL13;CXCL14;CXCL16;CXCL17;CX3CL1;XCL1;XCL2;IL9;IL10;IL11;IL12A;IL12B;IL13;IL15;IL16;IL17A;IL17B;IL17C;IL17D;IL17F;IL18;IL19;IL20;IL21;IL22;IL23A;IL24;IL25;IL26;IL27;IL31;IL32;IL33;IL34;IL36A;IL36B;IL36G;IL37;GH1;GH2;EPO;PRL;THPO
